Tims-iMac-2:assignment7 tbk$ python bricktest.py
Brick with x == 5, y == 550, linecolor == red, and fillcolor == red
Brick with x == 437, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 5, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 53, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 101, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 149, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 197, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 245, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 293, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 341, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 389, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 437, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 5, y == 478, linecolor == green, and fillcolor == green
Brick with x == 53, y == 478, linecolor == green, and fillcolor == green
Brick with x == 101, y == 478, linecolor == green, and fillcolor == green
Brick with x == 149, y == 478, linecolor == green, and fillcolor == green
Brick with x == 197, y == 478, linecolor == green, and fillcolor == green
Brick with x == 245, y == 478, linecolor == green, and fillcolor == green
Brick with x == 293, y == 478, linecolor == green, and fillcolor == green
Brick with x == 341, y == 478, linecolor == green, and fillcolor == green
Brick with x == 389, y == 478, linecolor == green, and fillcolor == green
Brick with x == 437, y == 478, linecolor == green, and fillcolor == green
Brick with x == 5, y == 466, linecolor == green, and fillcolor == green
Brick with x == 53, y == 466, linecolor == green, and fillcolor == green
Brick with x == 101, y == 466, linecolor == green, and fillcolor == green
Brick with x == 149, y == 466, linecolor == green, and fillcolor == green
Brick with x == 197, y == 466, linecolor == green, and fillcolor == green
Brick with x == 245, y == 466, linecolor == green, and fillcolor == green
Brick with x == 293, y == 466, linecolor == green, and fillcolor == green
Brick with x == 341, y == 466, linecolor == green, and fillcolor == green
Brick with x == 389, y == 466, linecolor == green, and fillcolor == green
Brick with x == 437, y == 466, linecolor == green, and fillcolor == green
Brick with x == 5, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 53, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 101, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 149, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 197, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 245, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 293, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 341, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 389, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 437, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 5, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 53, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 101, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 149, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 197, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 245, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 293, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 341, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 389, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 437, y == 442, linecolor == cyan, and fillcolor == cyan
removed brick here

Bricks after removal:
Brick with x == 53, y == 550, linecolor == red, and fillcolor == red
Brick with x == 101, y == 550, linecolor == red, and fillcolor == red
Brick with x == 149, y == 550, linecolor == red, and fillcolor == red
Brick with x == 197, y == 550, linecolor == red, and fillcolor == red
Brick with x == 245, y == 550, linecolor == red, and fillcolor == red
Brick with x == 293, y == 550, linecolor == red, and fillcolor == red
Brick with x == 341, y == 550, linecolor == red, and fillcolor == red
Brick with x == 389, y == 550, linecolor == red, and fillcolor == red
Brick with x == 437, y == 550, linecolor == red, and fillcolor == red
Brick with x == 5, y == 538, linecolor == red, and fillcolor == red
Brick with x == 53, y == 538, linecolor == red, and fillcolor == red
Brick with x == 101, y == 538, linecolor == red, and fillcolor == red
Brick with x == 149, y == 538, linecolor == red, and fillcolor == red
Brick with x == 197, y == 538, linecolor == red, and fillcolor == red
Brick with x == 245, y == 538, linecolor == red, and fillcolor == red
Brick with x == 293, y == 538, linecolor == red, and fillcolor == red
Brick with x == 341, y == 538, linecolor == red, and fillcolor == red
Brick with x == 389, y == 538, linecolor == red, and fillcolor == red
Brick with x == 437, y == 538, linecolor == red, and fillcolor == red
Brick with x == 5, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 53, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 101, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 149, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 197, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 245, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 293, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 341, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 389, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 437, y == 526, linecolor == orange, and fillcolor == orange
Brick with x == 5, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 53, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 101, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 149, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 197, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 245, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 293, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 341, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 389, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 437, y == 514, linecolor == orange, and fillcolor == orange
Brick with x == 5, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 53, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 101, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 149, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 197, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 245, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 293, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 341, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 389, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 437, y == 502, linecolor == yellow, and fillcolor == yellow
Brick with x == 5, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 53, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 101, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 149, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 197, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 245, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 293, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 341, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 389, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 437, y == 490, linecolor == yellow, and fillcolor == yellow
Brick with x == 5, y == 478, linecolor == green, and fillcolor == green
Brick with x == 53, y == 478, linecolor == green, and fillcolor == green
Brick with x == 101, y == 478, linecolor == green, and fillcolor == green
Brick with x == 149, y == 478, linecolor == green, and fillcolor == green
Brick with x == 197, y == 478, linecolor == green, and fillcolor == green
Brick with x == 245, y == 478, linecolor == green, and fillcolor == green
Brick with x == 293, y == 478, linecolor == green, and fillcolor == green
Brick with x == 341, y == 478, linecolor == green, and fillcolor == green
Brick with x == 389, y == 478, linecolor == green, and fillcolor == green
Brick with x == 437, y == 478, linecolor == green, and fillcolor == green
Brick with x == 5, y == 466, linecolor == green, and fillcolor == green
Brick with x == 53, y == 466, linecolor == green, and fillcolor == green
Brick with x == 101, y == 466, linecolor == green, and fillcolor == green
Brick with x == 149, y == 466, linecolor == green, and fillcolor == green
Brick with x == 197, y == 466, linecolor == green, and fillcolor == green
Brick with x == 245, y == 466, linecolor == green, and fillcolor == green
Brick with x == 293, y == 466, linecolor == green, and fillcolor == green
Brick with x == 341, y == 466, linecolor == green, and fillcolor == green
Brick with x == 389, y == 466, linecolor == green, and fillcolor == green
Brick with x == 437, y == 466, linecolor == green, and fillcolor == green
Brick with x == 5, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 53, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 101, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 149, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 197, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 245, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 293, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 341, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 389, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 437, y == 454, linecolor == cyan, and fillcolor == cyan
Brick with x == 5, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 53, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 101, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 149, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 197, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 245, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 293, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 341, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 389, y == 442, linecolor == cyan, and fillcolor == cyan
Brick with x == 437, y == 442, linecolor == cyan, and fillcolor == cyan
Tims-iMac-2:assignment7 tbk$ 
